"bucket","lower_limit","upper_limit","num"
1,0.00000,117.03960,121008
3,234.07920,351.11880,819
4,351.11880,468.15840,1336
14,1521.51480,1638.55440,1524
15,1638.55440,1755.59400,313
16,1755.59400,1872.63360,348
17,1872.63360,1989.67320,449
28,3160.06920,3277.10880,1324
29,3277.10880,3394.14840,1160
30,3394.14840,3511.18800,789
31,3511.18800,3628.22760,2136
33,3745.26720,3862.30680,123
34,3862.30680,3979.34640,5759
37,4213.42560,4330.46520,519
38,4330.46520,4447.50480,812
42,4798.62360,4915.66320,60
48,5500.86120,5617.90080,403
49,5617.90080,5734.94040,195
50,5734.94040,5851.98000,3
51,5851.98000,5969.01960,178
52,5969.01960,6086.05920,136
55,6320.13840,6437.17800,107
62,7139.41560,7256.45520,345
63,7256.45520,7373.49480,792
64,7373.49480,7490.53440,697
67,7724.61360,7841.65320,52
68,7841.65320,7958.69280,115
69,7958.69280,8075.73240,339
70,8075.73240,8192.77200,454
71,8192.77200,8309.81160,618
73,8426.85120,8543.89080,74
78,9012.04920,9129.08880,353
79,9129.08880,9246.12840,119
84,9714.28680,9831.32640,7
85,9831.32640,9948.36600,123
86,9948.36600,10065.40560,29
87,10065.40560,10182.44520,66
91,10533.56400,10650.60360,81
95,11001.72240,11118.76200,66
96,11118.76200,11235.80160,354
97,11235.80160,11352.84120,1998
98,11352.84120,11469.88080,739
99,11469.88080,11586.92040,351
100,11586.92040,11703.96000,101
101,11703.96000,11820.99960,1127
102,11820.99960,11938.03920,1906
104,12055.07880,12172.11840,257
105,12172.11840,12289.15800,183
106,12289.15800,12406.19760,1115
107,12406.19760,12523.23720,188
108,12523.23720,12640.27680,731
109,12640.27680,12757.31640,454
111,12874.35600,12991.39560,1139
113,13108.43520,13225.47480,1710
115,13342.51440,13459.55400,241
116,13459.55400,13576.59360,196
117,13576.59360,13693.63320,63
118,13693.63320,13810.67280,227
122,14161.79160,14278.83120,47
127,14746.98960,14864.02920,38
129,14981.06880,15098.10840,4
130,15098.10840,15215.14800,522
131,15215.14800,15332.18760,1288
133,15449.22720,15566.26680,487
136,15800.34600,15917.38560,39
137,15917.38560,16034.42520,183
138,16034.42520,16151.46480,236
139,16151.46480,16268.50440,51
140,16268.50440,16385.54400,679
141,16385.54400,16502.58360,457
142,16502.58360,16619.62320,369
144,16736.66280,16853.70240,516
145,16853.70240,16970.74200,710
146,16970.74200,17087.78160,1265
149,17321.86080,17438.90040,171
151,17555.94000,17672.97960,472
152,17672.97960,17790.01920,459
157,18258.17760,18375.21720,1672
158,18375.21720,18492.25680,111
160,18609.29640,18726.33600,158
162,18843.37560,18960.41520,1
165,19194.49440,19311.53400,328
167,19428.57360,19545.61320,1464
172,20013.77160,20130.81120,86
173,20130.81120,20247.85080,139
174,20247.85080,20364.89040,47
177,20598.96960,20716.00920,542
180,20950.08840,21067.12800,869
181,21067.12800,21184.16760,1349
183,21301.20720,21418.24680,1098
184,21418.24680,21535.28640,39
185,21535.28640,21652.32600,1188
186,21652.32600,21769.36560,184
187,21769.36560,21886.40520,981
190,22120.48440,22237.52400,536
191,22237.52400,22354.56360,384
194,22588.64280,22705.68240,158
195,22705.68240,22822.72200,6
196,22822.72200,22939.76160,490
197,22939.76160,23056.80120,1979
198,23056.80120,23173.84080,1388
199,23173.84080,23290.88040,446
200,23290.88040,23407.92000,218
202,23524.95960,23641.99920,676
203,23641.99920,23759.03880,81
204,23759.03880,23876.07840,197
205,23876.07840,23993.11800,200
206,23993.11800,24110.15760,334
207,24110.15760,24227.19720,22
208,24227.19720,24344.23680,740
209,24344.23680,24461.27640,35
211,24578.31600,24695.35560,779
212,24695.35560,24812.39520,214
213,24812.39520,24929.43480,428
217,25280.55360,25397.59320,337
218,25397.59320,25514.63280,419
220,25631.67240,25748.71200,867
221,25748.71200,25865.75160,334
225,26216.87040,26333.91000,1125
226,26333.91000,26450.94960,862
227,26450.94960,26567.98920,459
228,26567.98920,26685.02880,497
229,26685.02880,26802.06840,1093
232,27036.14760,27153.18720,725
234,27270.22680,27387.26640,88
235,27387.26640,27504.30600,574
237,27621.34560,27738.38520,59
238,27738.38520,27855.42480,176
240,27972.46440,28089.50400,8
241,28089.50400,28206.54360,153
242,28206.54360,28323.58320,151
244,28440.62280,28557.66240,726
245,28557.66240,28674.70200,927
246,28674.70200,28791.74160,501
247,28791.74160,28908.78120,362
248,28908.78120,29025.82080,237
251,29259.90000,29376.93960,423
252,29376.93960,29493.97920,146
253,29493.97920,29611.01880,262
255,29728.05840,29845.09800,663
256,29845.09800,29962.13760,58
257,29962.13760,30079.17720,849
258,30079.17720,30196.21680,530
259,30196.21680,30313.25640,1184
260,30313.25640,30430.29600,313
266,31015.49400,31132.53360,228
267,31132.53360,31249.57320,569
271,31600.69200,31717.73160,46
272,31717.73160,31834.77120,875
276,32185.89000,32302.92960,499
277,32302.92960,32419.96920,483
278,32419.96920,32537.00880,65
280,32654.04840,32771.08800,320
281,32771.08800,32888.12760,889
284,33122.20680,33239.24640,203
285,33239.24640,33356.28600,15
287,33473.32560,33590.36520,357
288,33590.36520,33707.40480,552
289,33707.40480,33824.44440,216
290,33824.44440,33941.48400,290
293,34175.56320,34292.60280,340
294,34292.60280,34409.64240,242
304,35462.99880,35580.03840,89
305,35580.03840,35697.07800,263
307,35814.11760,35931.15720,76
314,36633.39480,36750.43440,1
317,36984.51360,37101.55320,56
324,37803.79080,37920.83040,613
329,38388.98880,38506.02840,64
330,38506.02840,38623.06800,428
331,38623.06800,38740.10760,339
334,38974.18680,39091.22640,926
338,39442.34520,39559.38480,23
344,40144.58280,40261.62240,140
347,40495.70160,40612.74120,373
349,40729.78080,40846.82040,119
354,41314.97880,41432.01840,458
363,42368.33520,42485.37480,197
370,43187.61240,43304.65200,129
371,43304.65200,43421.69160,629
372,43421.69160,43538.73120,230
375,43772.81040,43889.85000,4
376,43889.85000,44006.88960,987
377,44006.88960,44123.92920,716
378,44123.92920,44240.96880,198
379,44240.96880,44358.00840,15
382,44592.08760,44709.12720,555
383,44709.12720,44826.16680,439
388,45294.32520,45411.36480,153
389,45411.36480,45528.40440,2
392,45762.48360,45879.52320,601
394,45996.56280,46113.60240,288
401,46815.84000,46932.87960,84
402,46932.87960,47049.91920,43
406,47401.03800,47518.07760,472
410,47869.19640,47986.23600,239
417,48688.47360,48805.51320,332
421,49156.63200,49273.67160,452
428,49975.90920,50092.94880,45
440,51380.38440,51497.42400,80
442,51614.46360,51731.50320,382
447,52199.66160,52316.70120,85
451,52667.82000,52784.85960,2
455,53135.97840,53253.01800,686
459,53604.13680,53721.17640,74
460,53721.17640,53838.21600,122
469,54774.53280,54891.57240,1211
473,55242.69120,55359.73080,139
485,56647.16640,56764.20600,97
486,56764.20600,56881.24560,382
499,58285.72080,58402.76040,110
513,59924.27520,60041.31480,534
515,60158.35440,60275.39400,302
526,61445.79000,61562.82960,682
539,62967.30480,63084.34440,167
540,63084.34440,63201.38400,190
544,63552.50280,63669.54240,460
546,63786.58200,63903.62160,257
550,64254.74040,64371.78000,173
562,65659.21560,65776.25520,211
563,65776.25520,65893.29480,340
568,66361.45320,66478.49280,118
580,67765.92840,67882.96800,353
594,69404.48280,69521.52240,36
596,69638.56200,69755.60160,299
605,70691.91840,70808.95800,413
612,71511.19560,71628.23520,479
638,74554.22520,74671.26480,233
643,75139.42320,75256.46280,32
647,75607.58160,75724.62120,329
654,76426.85880,76543.89840,527
657,76777.97760,76895.01720,665
676,79001.73000,79118.76960,162
678,79235.80920,79352.84880,424
682,79703.96760,79821.00720,130
685,80055.08640,80172.12600,211
698,81576.60120,81693.64080,158
709,82864.03680,82981.07640,1292
713,83332.19520,83449.23480,159
717,83800.35360,83917.39320,134
722,84385.55160,84502.59120,152
762,89067.13560,89184.17520,7
778,90939.76920,91056.80880,75
871,101824.45200,101941.49160,580
892,104282.28360,104399.32320,362
895,104633.40240,104750.44200,36
898,104984.52120,105101.56080,136
903,105569.71920,105686.75880,117
904,105686.75880,105803.79840,24
913,106740.11520,106857.15480,338
920,107559.39240,107676.43200,35
923,107910.51120,108027.55080,256
931,108846.82800,108963.86760,928
932,108963.86760,109080.90720,215
933,109080.90720,109197.94680,311
941,110017.22400,110134.26360,138
945,110485.38240,110602.42200,426
946,110602.42200,110719.46160,448
950,111070.58040,111187.62000,385
954,111538.73880,111655.77840,624
961,112358.01600,112475.05560,348
962,112475.05560,112592.09520,762
966,112943.21400,113060.25360,285
967,113060.25360,113177.29320,203
981,114698.80800,114815.84760,349
1001,117039.60000,117156.63960,735
1005,117507.75840,117624.79800,325
1014,118561.11480,118678.15440,62
1028,120199.66920,120316.70880,77
1037,121253.02560,121370.06520,77
1039,121487.10480,121604.14440,351
1045,122189.34240,122306.38200,3
1047,122423.42160,122540.46120,256
1049,122657.50080,122774.54040,103
1051,122891.58000,123008.61960,37
1052,123008.61960,123125.65920,599
1055,123359.73840,123476.77800,704
1058,123710.85720,123827.89680,87
1081,126402.76800,126519.80760,544
1089,127339.08480,127456.12440,403
1091,127573.16400,127690.20360,222
1093,127807.24320,127924.28280,512
1099,128509.48080,128626.52040,2
1102,128860.59960,128977.63920,99
1111,129913.95600,130030.99560,403
1150,134478.50040,134595.54000,1040
1162,135882.97560,136000.01520,31
1176,137521.53000,137638.56960,228
1263,147703.97520,147821.01480,76
1269,148406.21280,148523.25240,4
1317,154024.11360,154141.15320,275
1319,154258.19280,154375.23240,168
1321,154492.27200,154609.31160,207
1323,154726.35120,154843.39080,76
1341,156833.06400,156950.10360,266
1344,157184.18280,157301.22240,661
1346,157418.26200,157535.30160,47
1348,157652.34120,157769.38080,27
1363,159407.93520,159524.97480,30
1366,159759.05400,159876.09360,62
1368,159993.13320,160110.17280,443
1384,161865.76680,161982.80640,55
1386,162099.84600,162216.88560,478
1407,164557.67760,164674.71720,373
1408,164674.71720,164791.75680,278
1413,165259.91520,165376.95480,732
1417,165728.07360,165845.11320,163
1525,178368.35040,178485.39000,92
1572,183869.21160,183986.25120,7
1578,184571.44920,184688.48880,602
1603,187497.43920,187614.47880,60
