"bucket","lower_limit","upper_limit","num"
1,0.00000,2.44294,4030
132,320.02514,322.46808,1
133,322.46808,324.91102,4
134,324.91102,327.35396,2
138,334.68278,337.12572,2
140,339.56866,342.01160,1
145,351.78336,354.22630,3
632,1541.49514,1543.93808,1
660,1609.89746,1612.34040,2
662,1614.78334,1617.22628,4
663,1617.22628,1619.66922,2
664,1619.66922,1622.11216,1
665,1622.11216,1624.55510,1
666,1624.55510,1626.99804,1
667,1626.99804,1629.44098,3
668,1629.44098,1631.88392,1
671,1636.76980,1639.21274,2
678,1653.87038,1656.31332,1
689,1680.74272,1683.18566,2
727,1773.57444,1776.01738,1
729,1778.46032,1780.90326,1
796,1942.13730,1944.58024,1
1315,3210.02316,3212.46610,1
1317,3214.90904,3217.35198,1
1320,3222.23786,3224.68080,1
1322,3227.12374,3229.56668,1
1323,3229.56668,3232.00962,1
1326,3236.89550,3239.33844,1
1334,3256.43902,3258.88196,1
1342,3275.98254,3278.42548,1
1367,3337.05604,3339.49898,1
1424,3476.30362,3478.74656,1
1428,3486.07538,3488.51832,1
1448,3534.93418,3537.37712,2
1449,3537.37712,3539.82006,3
1451,3542.26300,3544.70594,1
1452,3544.70594,3547.14888,2
1453,3547.14888,3549.59182,1
1455,3552.03476,3554.47770,1
1456,3554.47770,3556.92064,2
1581,3859.84520,3862.28814,1
1582,3862.28814,3864.73108,2
1583,3864.73108,3867.17402,2
1584,3867.17402,3869.61696,4
1585,3869.61696,3872.05990,4
1587,3874.50284,3876.94578,1
1588,3876.94578,3879.38872,1
1589,3879.38872,3881.83166,1
1590,3881.83166,3884.27460,4
1591,3884.27460,3886.71754,1
1592,3886.71754,3889.16048,3
1593,3889.16048,3891.60342,2
1594,3891.60342,3894.04636,4
1595,3894.04636,3896.48930,1
1596,3896.48930,3898.93224,1
1597,3898.93224,3901.37518,2
1598,3901.37518,3903.81812,1
1725,4211.62856,4214.07150,1
1811,4421.72140,4424.16434,2
2001,4885.88000,4888.32294,1
2262,5523.48734,5525.93028,1
2315,5652.96316,5655.40610,1
2387,5828.85484,5831.29778,1
2397,5853.28424,5855.72718,1
2419,5907.02892,5909.47186,1
2490,6080.47766,6082.92060,1
2613,6380.95928,6383.40222,1
2615,6385.84516,6388.28810,1
2938,7174.91478,7177.35772,1
2979,7275.07532,7277.51826,1
2990,7301.94766,7304.39060,1
2991,7304.39060,7306.83354,1
3011,7353.24940,7355.69234,1
3014,7360.57822,7363.02116,1
3019,7372.79292,7375.23586,1
3037,7416.76584,7419.20878,1
3038,7419.20878,7421.65172,1
3195,7802.75036,7805.19330,1
3237,7905.35384,7907.79678,1
3259,7959.09852,7961.54146,1
3266,7976.19910,7978.64204,1
3272,7990.85674,7993.29968,1
3284,8020.17202,8022.61496,1
3308,8078.80258,8081.24552,1
3310,8083.68846,8086.13140,3
3315,8095.90316,8098.34610,2
3316,8098.34610,8100.78904,2
3320,8108.11786,8110.56080,1
3322,8113.00374,8115.44668,1
3323,8115.44668,8117.88962,1
3325,8120.33256,8122.77550,2
3326,8122.77550,8125.21844,1
3335,8144.76196,8147.20490,1
3342,8161.86254,8164.30548,1
3349,8178.96312,8181.40606,1
3360,8205.83546,8208.27840,1
3361,8208.27840,8210.72134,1
3362,8210.72134,8213.16428,1
3373,8237.59368,8240.03662,1
3378,8249.80838,8252.25132,1
3387,8271.79484,8274.23778,1
3464,8459.90122,8462.34416,1
3735,9121.93796,9124.38090,1
3741,9136.59560,9139.03854,1
3917,9566.55304,9568.99598,1
3979,9718.01532,9720.45826,1
3984,9730.23002,9732.67296,1
3986,9735.11590,9737.55884,1
4043,9874.36348,9876.80642,1
4102,10018.49694,10020.93988,1
4122,10067.35574,10069.79868,1
4123,10069.79868,10072.24162,1
4317,10543.72904,10546.17198,1
4548,11108.04818,11110.49112,1
4575,11174.00756,11176.45050,1
4606,11249.73870,11252.18164,1
4619,11281.49692,11283.93986,1
4628,11303.48338,11305.92632,3
4634,11318.14102,11320.58396,1
4635,11320.58396,11323.02690,1
4662,11386.54334,11388.98628,1
4680,11430.51626,11432.95920,1
4692,11459.83154,11462.27448,1
4714,11513.57622,11516.01916,1
4731,11555.10620,11557.54914,1
4785,11687.02496,11689.46790,1
4816,11762.75610,11765.19904,1
4820,11772.52786,11774.97080,1
4832,11801.84314,11804.28608,1
4854,11855.58782,11858.03076,1
4862,11875.13134,11877.57428,1
4883,11926.43308,11928.87602,1
4937,12058.35184,12060.79478,1
4965,12126.75416,12129.19710,1
5010,12236.68646,12239.12940,1
5041,12312.41760,12314.86054,1
5052,12339.28994,12341.73288,2
5065,12371.04816,12373.49110,1
5072,12388.14874,12390.59168,1
5083,12415.02108,12417.46402,1
5171,12629.99980,12632.44274,2
5184,12661.75802,12664.20096,1
5209,12722.83152,12725.27446,1
5293,12928.03848,12930.48142,1
5297,12937.81024,12940.25318,1
5299,12942.69612,12945.13906,1
5305,12957.35376,12959.79670,1
5373,13123.47368,13125.91662,1
5379,13138.13132,13140.57426,3
5380,13140.57426,13143.01720,1
5381,13143.01720,13145.46014,2
5479,13382.42532,13384.86826,1
5521,13485.02880,13487.47174,1
5591,13656.03460,13658.47754,1
5607,13695.12164,13697.56458,1
5643,13783.06748,13785.51042,1
5654,13809.93982,13812.38276,1
5839,14261.88372,14264.32666,1
5999,14652.75412,14655.19706,1
6071,14828.64580,14831.08874,1
6077,14843.30344,14845.74638,1
6137,14989.87984,14992.32278,1
6186,15109.58390,15112.02684,1
6227,15209.74444,15212.18738,1
6241,15243.94560,15246.38854,1
6270,15314.79086,15317.23380,1
6274,15324.56262,15327.00556,1
6349,15507.78312,15510.22606,1
6509,15898.65352,15901.09646,1
6537,15967.05584,15969.49878,1
6541,15976.82760,15979.27054,4
6557,16015.91464,16018.35758,1
6573,16055.00168,16057.44462,1
6596,16111.18930,16113.63224,1
6599,16118.51812,16120.96106,1
6608,16140.50458,16142.94752,1
6637,16211.34984,16213.79278,1
6656,16257.76570,16260.20864,1
6686,16331.05390,16333.49684,1
6689,16338.38272,16340.82566,1
6710,16389.68446,16392.12740,1
6746,16477.63030,16480.07324,1
6802,16614.43494,16616.87788,1
6869,16778.11192,16780.55486,2
6875,16792.76956,16795.21250,1
6894,16839.18542,16841.62836,1
6903,16861.17188,16863.61482,1
6913,16885.60128,16888.04422,1
6918,16897.81598,16900.25892,1
6972,17029.73474,17032.17768,1
6977,17041.94944,17044.39238,1
6983,17056.60708,17059.05002,1
7124,17401.06162,17403.50456,1
7197,17579.39624,17581.83918,1
7218,17630.69798,17633.14092,1
7232,17664.89914,17667.34208,1
7233,17667.34208,17669.78502,1
7239,17681.99972,17684.44266,1
7245,17696.65736,17699.10030,1
7246,17699.10030,17701.54324,1
7256,17723.52970,17725.97264,1
7267,17750.40204,17752.84498,1
7268,17752.84498,17755.28792,1
7270,17757.73086,17760.17380,1
7278,17777.27438,17779.71732,1
7398,18070.42718,18072.87012,1
7487,18287.84884,18290.29178,26
7531,18395.33820,18397.78114,1
7556,18456.41170,18458.85464,1
7638,18656.73278,18659.17572,1
7641,18664.06160,18666.50454,1
7738,18901.02678,18903.46972,1
7868,19218.60898,19221.05192,1
7950,19418.93006,19421.37300,1
7957,19436.03064,19438.47358,1
7959,19440.91652,19443.35946,1
7982,19497.10414,19499.54708,1
7995,19528.86236,19531.30530,2
7999,19538.63412,19541.07706,1
8004,19550.84882,19553.29176,1
8148,19902.63218,19905.07512,1
8199,20027.22212,20029.66506,1
8213,20061.42328,20063.86622,1
8239,20124.93972,20127.38266,1
8245,20139.59736,20142.04030,1
8298,20269.07318,20271.51612,1
8327,20339.91844,20342.36138,1
8334,20357.01902,20359.46196,1
8480,20713.68826,20716.13120,1
8600,21006.84106,21009.28400,2
8605,21019.05576,21021.49870,1
8625,21067.91456,21070.35750,1
8631,21082.57220,21085.01514,1
8637,21097.22984,21099.67278,1
8642,21109.44454,21111.88748,1
8646,21119.21630,21121.65924,1
8720,21299.99386,21302.43680,1
8722,21304.87974,21307.32268,1
8771,21424.58380,21427.02674,1
8797,21488.10024,21490.54318,1
8838,21588.26078,21590.70372,1
8840,21593.14666,21595.58960,1
8890,21715.29366,21717.73660,1
8909,21761.70952,21764.15246,1
8939,21834.99772,21837.44066,2
8941,21839.88360,21842.32654,1
9072,22159.90874,22162.35168,1
9079,22177.00932,22179.45226,1
9113,22260.06928,22262.51222,1
9251,22597.19500,22599.63794,1
9327,22782.85844,22785.30138,1
9351,22841.48900,22843.93194,1
9374,22897.67662,22900.11956,1
9407,22978.29364,22980.73658,2
9414,22995.39422,22997.83716,1
9429,23032.03832,23034.48126,1
9438,23054.02478,23056.46772,1
9443,23066.23948,23068.68242,1
9447,23076.01124,23078.45418,1
9466,23122.42710,23124.87004,1
9469,23129.75592,23132.19886,1
9530,23278.77526,23281.21820,1
9569,23374.04992,23376.49286,1
9648,23567.04218,23569.48512,1
9662,23601.24334,23603.68628,1
9683,23652.54508,23654.98802,1
9736,23782.02090,23784.46384,1
9754,23825.99382,23828.43676,1
9798,23933.48318,23935.92612,1
