"bucket","lower_limit","upper_limit","num"
1,0.00000,977.17520,2370
2,977.17520,1954.35040,19
4,2931.52560,3908.70080,47
5,3908.70080,4885.87600,3
6,4885.87600,5863.05120,3
7,5863.05120,6840.22640,1
8,6840.22640,7817.40160,8
9,7817.40160,8794.57680,22
10,8794.57680,9771.75200,4
11,9771.75200,10748.92720,2
12,10748.92720,11726.10240,10
13,11726.10240,12703.27760,14
14,12703.27760,13680.45280,10
15,13680.45280,14657.62800,4
16,14657.62800,15634.80320,7
17,15634.80320,16611.97840,11
18,16611.97840,17589.15360,11
19,17589.15360,18566.32880,24
20,18566.32880,19543.50400,7
21,19543.50400,20520.67920,6
22,20520.67920,21497.85440,11
23,21497.85440,22475.02960,7
24,22475.02960,23452.20480,12
25,23452.20480,24429.38000,12
26,24429.38000,25406.55520,7
27,25406.55520,26383.73040,6
28,26383.73040,27360.90560,9
29,27360.90560,28338.08080,7
30,28338.08080,29315.25600,4
31,29315.25600,30292.43120,9
32,30292.43120,31269.60640,3
33,31269.60640,32246.78160,2
34,32246.78160,33223.95680,6
35,33223.95680,34201.13200,8
37,35178.30720,36155.48240,3
39,37132.65760,38109.83280,1
40,38109.83280,39087.00800,6
42,40064.18320,41041.35840,3
43,41041.35840,42018.53360,1
45,42995.70880,43972.88400,5
46,43972.88400,44950.05920,6
47,44950.05920,45927.23440,3
48,45927.23440,46904.40960,2
49,46904.40960,47881.58480,3
50,47881.58480,48858.76000,2
52,49835.93520,50813.11040,1
53,50813.11040,51790.28560,3
54,51790.28560,52767.46080,2
55,52767.46080,53744.63600,3
56,53744.63600,54721.81120,1
57,54721.81120,55698.98640,1
59,56676.16160,57653.33680,2
60,57653.33680,58630.51200,1
62,59607.68720,60584.86240,2
63,60584.86240,61562.03760,1
65,62539.21280,63516.38800,2
66,63516.38800,64493.56320,1
68,65470.73840,66447.91360,1
69,66447.91360,67425.08880,1
70,67425.08880,68402.26400,1
72,69379.43920,70356.61440,2
73,70356.61440,71333.78960,1
74,71333.78960,72310.96480,1
77,74265.31520,75242.49040,1
78,75242.49040,76219.66560,1
79,76219.66560,77196.84080,1
82,79151.19120,80128.36640,3
85,82082.71680,83059.89200,1
86,83059.89200,84037.06720,1
87,84037.06720,85014.24240,1
92,88922.94320,89900.11840,1
94,90877.29360,91854.46880,1
108,104557.74640,105534.92160,1
109,105534.92160,106512.09680,2
110,106512.09680,107489.27200,1
111,107489.27200,108466.44720,2
112,108466.44720,109443.62240,3
113,109443.62240,110420.79760,1
114,110420.79760,111397.97280,2
115,111397.97280,112375.14800,2
116,112375.14800,113352.32320,3
118,114329.49840,115306.67360,1
120,116283.84880,117261.02400,3
121,117261.02400,118238.19920,3
122,118238.19920,119215.37440,1
124,120192.54960,121169.72480,1
125,121169.72480,122146.90000,1
126,122146.90000,123124.07520,5
127,123124.07520,124101.25040,2
130,126055.60080,127032.77600,1
131,127032.77600,128009.95120,2
132,128009.95120,128987.12640,1
138,133873.00240,134850.17760,1
140,135827.35280,136804.52800,1
141,136804.52800,137781.70320,1
152,147553.45520,148530.63040,2
158,153416.50640,154393.68160,2
159,154393.68160,155370.85680,2
161,156348.03200,157325.20720,2
162,157325.20720,158302.38240,2
164,159279.55760,160256.73280,4
166,161233.90800,162211.08320,2
169,164165.43360,165142.60880,1
170,165142.60880,166119.78400,2
183,177845.88640,178823.06160,1
193,187617.63840,188594.81360,1
195,189571.98880,190549.16400,1
197,191526.33920,192503.51440,2
198,192503.51440,193480.68960,1
