"bucket","lower_limit","upper_limit","num"
1,0.00000,977.17520,1669
2,977.17520,1954.35040,5
4,2931.52560,3908.70080,11
6,4885.87600,5863.05120,2
7,5863.05120,6840.22640,3
8,6840.22640,7817.40160,2
9,7817.40160,8794.57680,8
10,8794.57680,9771.75200,2
11,9771.75200,10748.92720,3
12,10748.92720,11726.10240,5
13,11726.10240,12703.27760,4
14,12703.27760,13680.45280,5
15,13680.45280,14657.62800,1
16,14657.62800,15634.80320,2
17,15634.80320,16611.97840,6
18,16611.97840,17589.15360,2
19,17589.15360,18566.32880,15
20,18566.32880,19543.50400,4
21,19543.50400,20520.67920,2
22,20520.67920,21497.85440,2
23,21497.85440,22475.02960,3
24,22475.02960,23452.20480,3
25,23452.20480,24429.38000,1
26,24429.38000,25406.55520,6
27,25406.55520,26383.73040,5
28,26383.73040,27360.90560,6
29,27360.90560,28338.08080,1
30,28338.08080,29315.25600,1
31,29315.25600,30292.43120,5
32,30292.43120,31269.60640,1
33,31269.60640,32246.78160,2
35,33223.95680,34201.13200,1
36,34201.13200,35178.30720,2
38,36155.48240,37132.65760,2
39,37132.65760,38109.83280,1
41,39087.00800,40064.18320,1
44,42018.53360,42995.70880,1
45,42995.70880,43972.88400,1
46,43972.88400,44950.05920,1
47,44950.05920,45927.23440,3
51,48858.76000,49835.93520,2
57,54721.81120,55698.98640,1
66,63516.38800,64493.56320,3
68,65470.73840,66447.91360,2
77,74265.31520,75242.49040,1
79,76219.66560,77196.84080,2
81,78174.01600,79151.19120,1
84,81105.54160,82082.71680,1
85,82082.71680,83059.89200,1
86,83059.89200,84037.06720,1
87,84037.06720,85014.24240,1
105,101626.22080,102603.39600,1
107,103580.57120,104557.74640,1
108,104557.74640,105534.92160,1
114,110420.79760,111397.97280,2
116,112375.14800,113352.32320,1
125,121169.72480,122146.90000,1
131,127032.77600,128009.95120,1
132,128009.95120,128987.12640,1
133,128987.12640,129964.30160,1
138,133873.00240,134850.17760,1
152,147553.45520,148530.63040,1
154,149507.80560,150484.98080,1
161,156348.03200,157325.20720,1
162,157325.20720,158302.38240,2
169,164165.43360,165142.60880,1
189,183708.93760,184686.11280,2
192,186640.46320,187617.63840,1
217,211069.84320,212047.01840,1
220,214001.36880,214978.54400,1
223,216932.89440,217910.06960,2
232,225727.47120,226704.64640,1
249,242339.44960,243316.62480,1
264,256997.07760,257974.25280,1
291,283380.80800,284357.98320,1
300,292175.38480,293152.56000,1
301,293152.56000,294129.73520,1
321,312696.06400,313673.23920,1
329,320513.46560,321490.64080,1
334,325399.34160,326376.51680,1
349,340056.96960,341034.14480,1
371,361554.82400,362531.99920,1
377,367417.87520,368395.05040,1
391,381098.32800,382075.50320,1
394,384029.85360,385007.02880,1
407,396733.13120,397710.30640,1
412,401619.00720,402596.18240,1
419,408459.23360,409436.40880,1
436,425071.21200,426048.38720,1
486,473929.97200,474907.14720,1
507,494450.65120,495427.82640,1
543,529628.95840,530606.13360,1
545,531583.30880,532560.48400,1
562,548195.28720,549172.46240,1
701,684022.64000,684999.81520,1
754,735812.92560,736790.10080,1
835,814964.11680,815941.29200,1
891,869685.92800,870663.10320,1
1063,1037760.06240,1038737.23760,2
1066,1040691.58800,1041668.76320,1
1100,1073915.54480,1074892.72000,1
1545,1508758.50880,1509735.68400,1
1922,1877153.55920,1878130.73440,1
2192,2140990.86320,2141968.03840,1
4001,3908700.80000,3909677.97520,1
