threshold,faucet,reduction,comp,1,2,3,4,5,6,7,8,9,10
2300,1,67,8,0,63,64,64,65,67,65,67,73,66
2400,1,67,8,0,63,64,64,65,66,64,67,72,66
2500,1,67,8,0,63,64,64,65,66,64,67,72,65
2600,1,66,8,0,62,64,64,64,66,64,66,71,65
2700,1,66,7,0,62,64,63,64,65,64,66,71,64
2800,1,66,8,0,62,63,63,64,65,64,66,70,64
2900,1,65,8,0,62,63,63,64,65,63,65,70,64
3000,1,65,8,0,62,63,63,64,65,63,65,70,63
3100,1,65,8,0,62,63,63,63,65,63,65,69,63
3200,1,65,8,0,62,63,63,63,64,63,65,69,63
3300,1,65,8,0,62,63,63,63,64,63,64,69,63
3400,1,64,7,0,61,63,62,63,64,63,64,69,62
3500,1,64,8,0,61,62,62,63,64,63,64,68,62
3600,1,64,8,0,61,62,62,63,64,62,64,68,62
3700,1,64,8,0,61,62,62,63,64,62,64,68,62
3800,1,64,8,0,61,62,62,62,63,62,64,68,62
3900,1,64,8,0,61,62,62,62,63,62,63,68,61
4000,1,63,8,0,61,62,62,62,63,62,63,67,61
4100,1,63,8,0,61,62,62,62,63,62,63,67,61
4200,1,63,8,0,61,62,62,62,63,62,63,67,61
4300,1,63,8,0,61,62,62,62,63,62,63,67,61
4400,1,63,8,0,61,62,62,62,63,62,63,67,61
4500,1,63,8,0,61,62,62,62,63,62,63,67,60
4600,1,63,8,0,61,61,61,62,63,62,63,66,60
4600,2,67,8,0,63,64,64,66,67,65,67,73,66
4700,1,63,8,0,61,61,61,62,63,62,62,66,60
4700,2,67,8,0,63,64,64,66,66,65,67,72,66
4800,1,63,8,0,61,61,61,62,62,61,62,66,60
4800,2,67,8,0,63,64,64,66,66,65,67,72,66
4900,1,63,8,0,60,61,61,62,62,61,62,66,60
4900,2,67,8,0,63,64,64,65,66,65,67,72,66
5000,2,67,8,0,63,64,64,65,66,65,67,72,65
5100,2,66,8,0,62,64,64,65,66,64,67,72,65
5200,2,66,8,0,62,64,64,65,66,64,66,71,65
5300,2,66,8,0,62,64,64,65,66,64,66,71,65
5400,2,66,7,0,62,64,63,65,65,64,66,71,64
5500,2,66,7,0,62,64,63,65,65,64,66,71,64
5600,2,66,8,0,62,63,63,65,65,64,66,70,64
5700,2,66,8,0,62,63,63,64,65,64,66,70,64
5800,2,66,8,0,62,63,63,64,65,64,65,70,64
5900,2,65,8,0,62,63,63,64,65,64,65,70,64
6000,2,65,8,0,62,63,63,64,65,64,65,70,63
6100,2,65,8,0,62,63,63,64,65,63,65,70,63
6200,2,65,8,0,62,63,63,64,65,63,65,69,63
6300,2,65,8,0,62,63,63,64,64,63,65,69,63
6400,2,65,8,0,62,63,63,64,64,63,65,69,63
6500,2,65,8,0,62,63,63,64,64,63,65,69,63
6600,2,65,8,0,62,63,63,64,64,63,64,69,63
6700,2,65,8,0,61,63,63,64,64,63,64,69,63
6800,2,64,7,0,61,63,62,64,64,63,64,69,62
6800,3,67,7,0,63,65,64,66,67,65,68,73,66
6900,2,64,8,0,61,62,62,63,64,63,64,69,62
6900,3,67,8,0,63,64,64,66,67,65,67,73,66
7000,2,64,8,0,61,62,62,63,64,63,64,68,62
7000,3,67,8,0,63,64,64,66,67,65,67,73,66
7100,2,64,8,0,61,62,62,63,64,63,64,68,62
7100,3,67,8,0,63,64,64,65,66,65,67,72,66
7200,2,64,8,0,61,62,62,63,64,63,64,68,62
7200,3,67,8,0,63,64,64,65,66,65,67,72,66
7300,2,64,8,0,61,62,62,63,64,63,64,68,62
7300,3,67,8,0,63,64,64,65,66,65,67,72,66
7400,2,64,8,0,61,62,62,63,64,63,64,68,62
7400,3,67,8,0,63,64,64,65,66,64,67,72,65
7500,2,64,8,0,61,62,62,63,64,63,64,68,62
7500,3,67,8,0,63,64,64,65,66,64,67,72,65
7600,2,64,9,0,61,62,62,63,63,63,64,68,62
7600,3,66,8,0,62,64,64,65,66,64,67,72,65
7700,2,64,8,0,61,62,62,63,63,62,63,68,62
7700,3,66,8,0,62,64,64,65,66,64,66,71,65
7800,2,64,8,0,61,62,62,63,63,62,63,68,61
7800,3,66,8,0,62,64,64,65,66,64,66,71,65
7900,2,64,8,0,61,62,62,63,63,62,63,67,61
7900,3,66,8,0,62,64,64,65,66,64,66,71,65
8000,2,64,8,0,61,62,62,63,63,62,63,67,61
8000,3,66,8,0,62,64,64,65,66,64,66,71,65
8100,2,64,8,0,61,62,62,63,63,62,63,67,61
8100,3,66,7,0,62,64,63,65,65,64,66,71,64
8200,2,63,8,0,61,62,62,63,63,62,63,67,61
8200,3,66,7,0,62,64,63,65,65,64,66,71,64
8300,2,63,8,0,61,62,62,63,63,62,63,67,61
8300,3,66,8,0,62,63,63,64,65,64,66,71,64
8400,2,63,8,0,61,62,62,63,63,62,63,67,61
8400,3,66,8,0,62,63,63,64,65,64,66,70,64
8500,2,63,8,0,61,62,62,62,63,62,63,67,61
8500,3,66,8,0,62,63,63,64,65,64,66,70,64
8600,2,63,8,0,61,62,62,62,63,62,63,67,61
8600,3,66,8,0,62,63,63,64,65,64,66,70,64
8700,2,63,8,0,61,62,62,62,63,62,63,67,61
8700,3,65,8,0,62,63,63,64,65,64,65,70,64
8800,2,63,8,0,61,62,62,62,63,62,63,67,61
8800,3,65,8,0,62,63,63,64,65,64,65,70,64
8900,2,63,8,0,61,62,62,62,63,62,63,67,61
8900,3,65,8,0,62,63,63,64,65,63,65,70,64
9000,2,63,8,0,61,62,62,62,63,62,63,67,60
9000,3,65,8,0,62,63,63,64,65,63,65,70,63
9100,2,63,7,0,61,62,61,62,63,62,63,66,60
9100,3,65,8,0,62,63,63,64,65,63,65,70,63
9200,2,63,8,0,61,61,61,62,63,62,63,66,60
9200,3,65,8,0,62,63,63,64,65,63,65,70,63
9200,4,67,8,0,63,64,65,66,67,65,67,73,66
9300,2,63,8,0,61,61,61,62,63,62,62,66,60
9300,3,65,8,0,62,63,63,64,65,63,65,69,63
9300,4,67,8,0,63,64,65,66,67,65,67,73,66
9400,2,63,8,0,61,61,61,62,63,62,62,66,60
9400,3,65,8,0,62,63,63,64,65,63,65,69,63
9400,4,67,8,0,63,64,65,66,66,65,67,72,66
9500,2,63,8,0,61,61,61,62,63,62,62,66,60
9500,3,65,8,0,62,63,63,64,64,63,65,69,63
9500,4,67,8,0,63,64,65,66,66,65,67,72,66
9600,2,63,9,0,61,61,61,62,62,62,62,66,60
9600,3,65,8,0,62,63,63,64,64,63,65,69,63
9600,4,67,8,0,63,64,65,66,66,65,67,72,66
9700,2,63,9,0,60,61,61,62,62,62,62,66,60
9700,3,65,8,0,62,63,63,64,64,63,65,69,63
9700,4,67,8,0,63,64,64,66,66,65,67,72,66
9800,2,63,9,0,60,61,61,62,62,62,62,66,60
9800,3,65,8,0,62,63,63,64,64,63,65,69,63
9800,4,67,8,0,63,64,64,65,66,65,67,72,66
9900,2,63,9,0,60,61,61,62,62,62,62,66,60
9900,3,65,8,0,62,63,63,63,64,63,64,69,63
9900,4,67,8,0,63,64,64,65,66,65,67,72,65
10000,2,63,9,0,60,61,61,62,62,62,62,66,60
10000,3,65,8,0,61,63,63,63,64,63,64,69,63
10000,4,67,8,0,63,64,64,65,66,65,67,72,65
10100,2,63,9,0,60,61,61,62,62,62,62,66,60
10100,3,65,8,0,61,63,63,63,64,63,64,69,63
10100,4,67,8,0,63,64,64,65,66,64,67,72,65
10200,3,64,7,0,61,63,62,63,64,63,64,69,62
10200,4,67,8,0,62,64,64,65,66,64,67,72,65
10300,3,64,7,0,61,63,62,63,64,63,64,69,62
10300,4,66,8,0,62,64,64,65,66,64,66,71,65
10400,3,64,8,0,61,62,62,63,64,63,64,68,62
10400,4,66,8,0,62,64,64,65,66,64,66,71,65
10500,3,64,8,0,61,62,62,63,64,63,64,68,62
10500,4,66,8,0,62,64,64,65,66,64,66,71,65
10600,3,64,8,0,61,62,62,63,64,63,64,68,62
10600,4,66,8,0,62,64,64,65,66,64,66,71,65
10700,3,64,8,0,61,62,62,63,64,63,64,68,62
10700,4,66,8,0,62,64,64,65,66,64,66,71,65
10800,3,64,8,0,61,62,62,63,64,63,64,68,62
10800,4,66,8,0,62,64,64,65,65,64,66,71,64
10900,3,64,8,0,61,62,62,63,64,63,64,68,62
10900,4,66,8,0,62,64,64,65,65,64,66,71,64
11000,3,64,8,0,61,62,62,63,64,63,64,68,62
11000,4,66,8,0,62,64,64,65,65,64,66,71,64
11100,3,64,8,0,61,62,62,63,64,63,64,68,62
11100,4,66,8,0,62,63,64,65,65,64,66,71,64
11200,3,64,8,0,61,62,62,63,64,62,64,68,62
11200,4,66,8,0,62,63,64,65,65,64,66,70,64
11300,3,64,8,0,61,62,62,63,64,62,64,68,62
11300,4,66,8,0,62,63,64,65,65,64,66,70,64
11400,3,64,8,0,61,62,62,63,63,62,64,68,62
11400,4,66,8,0,62,63,64,64,65,64,66,70,64
11400,5,67,8,0,63,65,65,66,67,65,68,73,67
11500,3,64,8,0,61,62,62,63,63,62,64,68,62
11500,4,66,8,0,62,63,64,64,65,64,66,70,64
11500,5,67,8,0,63,64,65,66,67,65,68,73,66
11600,3,64,8,0,61,62,62,63,63,62,63,68,61
11600,4,66,8,0,62,63,64,64,65,64,65,70,64
11600,5,67,8,0,63,64,65,66,67,65,68,73,66
11700,3,64,8,0,61,62,62,63,63,62,63,68,61
11700,4,65,8,0,62,63,63,64,65,64,65,70,64
11700,5,67,8,0,63,64,65,66,66,65,68,73,66
11800,3,64,8,0,61,62,62,63,63,62,63,67,61
11800,4,65,8,0,62,63,63,64,65,64,65,70,64
11800,5,67,8,0,63,64,65,66,66,65,67,72,66
11900,3,64,8,0,61,62,62,63,63,62,63,67,61
11900,4,65,8,0,62,63,63,64,65,64,65,70,64
11900,5,67,8,0,63,64,65,66,66,65,67,72,66
12000,3,64,8,0,61,62,62,63,63,62,63,67,61
12000,4,65,8,0,62,63,63,64,65,64,65,70,63
12000,5,67,8,0,63,64,64,66,66,65,67,72,66
12100,3,64,8,0,61,62,62,63,63,62,63,67,61
12100,4,65,8,0,62,63,63,64,65,64,65,70,63
12100,5,67,8,0,63,64,64,66,66,65,67,72,66
12200,3,63,8,0,61,62,62,63,63,62,63,67,61
12200,4,65,8,0,62,63,63,64,65,63,65,70,63
12200,5,67,8,0,63,64,64,66,66,65,67,72,66
12300,3,63,8,0,61,62,62,62,63,62,63,67,61
12300,4,65,8,0,62,63,63,64,65,63,65,70,63
12300,5,67,8,0,63,64,64,66,66,65,67,72,66
12400,3,63,8,0,61,62,62,62,63,62,63,67,61
12400,4,65,8,0,62,63,63,64,65,63,65,69,63
12400,5,67,8,0,63,64,64,66,66,65,67,72,66
12500,3,63,8,0,61,62,62,62,63,62,63,67,61
12500,4,65,8,0,62,63,63,64,65,63,65,69,63
12500,5,67,8,0,63,64,64,65,66,64,67,72,65
12600,3,63,8,0,61,62,62,62,63,62,63,67,61
12600,4,65,8,0,62,63,63,64,64,63,65,69,63
12600,5,67,8,0,63,64,64,65,66,64,67,72,65
12700,3,63,8,0,61,62,62,62,63,62,63,67,61
12700,4,65,8,0,62,63,63,64,64,63,65,69,63
12700,5,67,8,0,62,64,64,65,66,64,67,72,65
12800,3,63,8,0,61,62,62,62,63,62,63,67,61
12800,4,65,8,0,62,63,63,64,64,63,65,69,63
12800,5,67,8,0,62,64,64,65,66,64,67,71,65
12900,3,63,8,0,61,62,62,62,63,62,63,67,61
12900,4,65,8,0,62,63,63,64,64,63,65,69,63
